"","team","h_a","match_id","Date","FTHG","FTAG","FTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","scored","conceded","result","pts","HtrgPerc","AtrgPerc","wins","draws","losses","cum_points","cum_goal","cum_con","shots","shots_target","yellow_cards","red_cards","fouls","corners","shot_accuracy","opposition","opposition_rank","opposition_rank_group"
"1","Liverpool","h",1,2019-08-09,4,1,"H","M Oliver",15,12,7,5,9,9,11,2,0,2,0,0,1.14,10,19,4,1,"w",3,0.466666666666667,0.416666666666667,1,0,0,3,4,1,15,7,0,0,9,11,0.466666666666667,"Norwich",20,"16th-20th"
"2","Norwich","a",1,2019-08-09,4,1,"H","M Oliver",15,12,7,5,9,9,11,2,0,2,0,0,1.14,10,19,1,4,"l",0,0.466666666666667,0.416666666666667,0,0,1,0,1,4,12,5,2,0,9,2,0.416666666666667,"Liverpool",1,"1st-4th"
"3","West Ham","h",2,2019-08-10,0,5,"A","M Dean",5,14,3,9,6,13,1,1,2,2,0,0,12,6.5,1.22,0,5,"l",0,0.6,0.642857142857143,0,0,1,0,0,5,5,3,2,0,6,1,0.6,"Man City",2,"1st-4th"
"4","Man City","a",2,2019-08-10,0,5,"A","M Dean",5,14,3,9,6,13,1,1,2,2,0,0,12,6.5,1.22,5,0,"w",3,0.6,0.642857142857143,1,0,0,3,5,0,14,9,2,0,13,1,0.642857142857143,"West Ham",16,"12th-16th"
"5","Bournemouth","h",3,2019-08-10,1,1,"D","K Friend",13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,1,1,"d",1,0.230769230769231,0.375,0,1,0,1,1,1,13,3,2,0,10,3,0.230769230769231,"Sheffield United",9,"8th-12th"
"6","Sheffield United","a",3,2019-08-10,1,1,"D","K Friend",13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,1,1,"d",1,0.230769230769231,0.375,0,1,0,1,1,1,8,3,1,0,19,4,0.375,"Bournemouth",19,"16th-20th"
"7","Burnley","h",4,2019-08-10,3,0,"H","G Scott",10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,3,0,"w",3,0.4,0.272727272727273,1,0,0,3,3,0,10,4,0,0,6,2,0.4,"Southampton",11,"8th-12th"
"8","Southampton","a",4,2019-08-10,3,0,"H","G Scott",10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,0,3,"l",0,0.4,0.272727272727273,0,0,1,0,0,3,11,3,0,0,12,7,0.272727272727273,"Burnley",10,"8th-12th"
"9","Crystal Palace","h",5,2019-08-10,0,0,"D","J Moss",6,10,2,3,16,14,6,2,2,1,0,1,3,3.25,2.37,0,0,"d",1,0.333333333333333,0.3,0,1,0,1,0,0,6,2,2,0,16,6,0.333333333333333,"Everton",12,"8th-12th"
"10","Everton","a",5,2019-08-10,0,0,"D","J Moss",6,10,2,3,16,14,6,2,2,1,0,1,3,3.25,2.37,0,0,"d",1,0.333333333333333,0.3,0,1,0,1,0,0,10,3,1,1,14,2,0.3,"Crystal Palace",14,"12th-16th"
"11","Watford","h",6,2019-08-10,0,3,"A","C Pawson",11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4,0,3,"l",0,0.272727272727273,0.6,0,0,1,0,0,3,11,3,0,0,15,5,0.272727272727273,"Brighton",15,"12th-16th"
"12","Brighton","a",6,2019-08-10,0,3,"A","C Pawson",11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4,3,0,"w",3,0.272727272727273,0.6,1,0,0,3,3,0,5,3,1,0,11,2,0.6,"Watford",18,"16th-20th"
