"","h_a","xG","xGA","npxG","npxGA","deep","deep_allowed","scored","conceded","xpts","result","date","wins","draws","losses","pts","npxGD","team","ppda_cal","allowed_ppda","cum_points","round","cum_goal","cum_conceded","Referee","HS","HST","HF","HC","HY","HR","AS","AST","AF","AC","AY","AR","B365H","B365D","B365A","HtrgPerc","AtrgPerc","match_id","shots","shots_target","yellow_cards","red_cards","fouls","corners"
"1","h",2.23456,0.842407,2.23456,0.842407,11,5,4,1,2.3863,"w",2019-08-09,1,0,0,3,1.392153,"Liverpool",5.94285714285714,21.4545454545455,3,1,4,1,"M Oliver",15,7,9,11,0,0,12,5,9,2,2,0,1.14,10,19,0.466666666666667,0.416666666666667,1,15,7,0,0,9,11
"2","a",0.842407,2.23456,0.842407,2.23456,5,11,1,4,0.4405,"l",2019-08-09,0,0,1,0,-1.392153,"Norwich",21.4545454545455,5.94285714285714,0,1,1,4,"M Oliver",15,7,9,11,0,0,12,5,9,2,2,0,1.14,10,19,0.466666666666667,0.416666666666667,1,12,5,2,0,9,2
"3","a",3.18377,1.2003,2.42264,1.2003,9,1,5,0,2.6312,"w",2019-08-10,1,0,0,3,1.22234,"Man City",6.93548387096774,16.4,3,1,5,0,"M Dean",5,3,6,1,2,0,14,9,13,1,2,0,12,6.5,1.22,0.6,0.642857142857143,2,14,9,2,0,13,1
"4","h",1.2003,3.18377,1.2003,2.42264,1,9,0,5,0.2522,"l",2019-08-10,0,0,1,0,-1.22234,"West Ham",16.4,6.93548387096774,0,1,0,5,"M Dean",5,3,6,1,2,0,14,9,13,1,2,0,12,6.5,1.22,0.6,0.642857142857143,2,5,3,2,0,6,1
"5","h",1.34099,1.59864,1.34099,1.59864,4,6,1,1,1.0172,"d",2019-08-10,0,1,0,1,-0.25765,"Bournemouth",13.6,9.13333333333333,1,1,1,1,"K Friend",13,3,10,3,2,0,8,3,19,4,1,0,1.95,3.6,3.6,0.230769230769231,0.375,3,13,3,2,0,10,3
"6","a",0.855516,0.670022,0.855516,0.670022,5,7,3,0,1.5458,"w",2019-08-10,1,0,0,3,0.185494,"Brighton",11.5,9.78571428571429,3,1,3,0,"C Pawson",11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4,0.272727272727273,0.6,3,5,3,1,0,11,2
"7","h",0.909241,1.08752,0.909241,1.08752,0,9,3,0,1.1422,"w",2019-08-10,1,0,0,3,-0.178279,"Burnley",9.27777777777778,5.5,3,1,3,0,"G Scott",10,4,6,2,0,0,11,3,12,7,0,0,2.62,3.2,2.75,0.4,0.272727272727273,4,10,4,0,0,6,2
"8","h",0.87159,1.2246,0.87159,1.2246,5,5,0,0,1.0512,"d",2019-08-10,0,1,0,1,-0.35301,"Crystal Palace",11.3076923076923,4.07407407407407,1,1,0,0,"J Moss",6,2,16,6,2,0,10,3,14,2,1,1,3,3.25,2.37,0.333333333333333,0.3,4,6,2,2,0,16,6
"9","a",1.2246,0.87159,1.2246,0.87159,5,5,0,0,1.6257,"d",2019-08-10,0,1,0,1,0.35301,"Everton",4.07407407407407,11.3076923076923,1,1,0,0,"J Moss",6,2,16,6,2,0,10,3,14,2,1,1,3,3.25,2.37,0.333333333333333,0.3,5,10,3,1,1,14,2
"10","a",1.59864,1.34099,1.59864,1.34099,6,4,1,1,1.5905,"d",2019-08-10,0,1,0,1,0.25765,"Sheffield United",9.13333333333333,13.6,1,1,1,1,"K Friend",13,3,10,3,2,0,8,3,19,4,1,0,1.95,3.6,3.6,0.230769230769231,0.375,5,8,3,1,0,19,4
"11","a",1.08752,0.909241,1.08752,0.909241,9,0,0,3,1.5136,"l",2019-08-10,0,0,1,0,0.178279,"Southampton",5.5,9.27777777777778,0,1,0,3,"G Scott",10,4,6,2,0,0,11,3,12,7,0,0,2.62,3.2,2.75,0.4,0.272727272727273,6,11,3,0,0,12,7
"12","h",0.670022,0.855516,0.670022,0.855516,7,5,0,3,1.0922,"l",2019-08-10,0,0,1,0,-0.185494,"Watford",9.78571428571429,11.5,0,1,0,3,"C Pawson",11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4,0.272727272727273,0.6,6,11,3,0,0,15,5
"13","a",0.639599,2.57262,0.639599,2.57262,2,15,1,3,0.2794,"l",2019-08-10,0,0,1,0,-1.933021,"Aston Villa",13.4210526315789,5.25,0,1,1,3,"C Kavanagh",31,7,13,14,1,0,7,4,9,0,0,0,1.3,5.25,10,0.225806451612903,0.571428571428571,7,7,4,0,0,9,0
"14","h",2.57262,0.639599,2.57262,0.639599,15,2,3,1,2.5933,"w",2019-08-10,1,0,0,3,1.933021,"Tottenham",5.25,13.4210526315789,3,1,3,1,"C Kavanagh",31,7,13,14,1,0,7,4,9,0,0,0,1.3,5.25,10,0.225806451612903,0.571428571428571,7,31,7,1,0,13,14
"15","a",1.13309,0.380551,1.13309,0.380551,10,1,1,0,2.073,"w",2019-08-11,1,0,0,3,0.752539,"Arsenal",11.0526315789474,13.2068965517241,3,1,1,0,"M Atkinson",9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222222222,0.25,8,8,2,3,0,7,3
"16","h",0.543759,0.812949,0.543759,0.812949,7,3,0,0,1.0341,"d",2019-08-11,0,1,0,1,-0.26919,"Leicester",6.43478260869565,18.6666666666667,1,1,0,0,"A Marriner",15,1,3,12,0,0,8,2,13,3,2,0,2.2,3.2,3.4,0.0666666666666667,0.25,8,15,1,0,0,3,12
"17","h",0.380551,1.13309,0.380551,1.13309,1,10,0,1,0.6213,"l",2019-08-11,0,0,1,0,-0.752539,"Newcastle United",13.2068965517241,11.0526315789474,0,1,0,1,"M Atkinson",9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222222222,0.25,9,9,2,1,0,12,5
"18","a",0.812949,0.543759,0.812949,0.543759,3,7,0,0,1.584,"d",2019-08-11,0,1,0,1,0.26919,"Wolves",18.6666666666667,6.43478260869565,1,1,0,0,"A Marriner",15,1,3,12,0,0,8,2,13,3,2,0,2.2,3.2,3.4,0.0666666666666667,0.25,9,8,2,2,0,13,3
"19","a",1.09534,2.37442,1.09534,1.61326,4,8,0,4,0.4992,"l",2019-08-11,0,0,1,0,-0.51792,"Chelsea",6.45238095238095,9.06451612903226,0,1,0,4,"A Taylor",11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545454545455,0.388888888888889,10,18,7,4,0,13,5
"20","h",2.37442,1.09534,1.61326,1.09534,8,4,4,0,2.3226,"w",2019-08-11,1,0,0,3,0.51792,"Man United",9.06451612903226,6.45238095238095,3,1,4,0,"A Taylor",11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545454545455,0.388888888888889,10,11,5,3,0,15,3
"21","h",1.1644,1.39172,1.1644,1.39172,8,4,2,1,1.1533,"w",2019-08-17,1,0,0,3,-0.22732,"Arsenal",5.3125,11.3846153846154,6,2,3,1,"M Dean",16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777777777778,11,16,9,2,0,13,10
"22","a",1.39172,1.1644,1.39172,1.1644,4,8,1,2,1.5631,"l",2019-08-17,0,0,1,0,0.22732,"Burnley",11.3846153846154,5.3125,3,2,4,2,"M Dean",16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777777777778,11,18,5,1,0,11,7
"23","h",1.65069,1.62777,1.65069,0.866605,12,9,1,2,1.3698,"l",2019-08-17,0,0,1,0,0.784085,"Aston Villa",13,10.72,0,2,2,5,"M Atkinson",22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818181818,0.333333333333333,12,22,7,0,0,10,10
"24","a",1.62777,1.65069,0.866605,1.65069,9,12,2,1,1.3578,"w",2019-08-17,1,0,0,3,-0.784085,"Bournemouth",10.72,13,4,2,3,2,"M Atkinson",22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818181818,0.333333333333333,12,12,4,2,0,13,5
"25","h",2.40461,1.00856,2.40461,1.00856,8,4,1,1,2.3339,"d",2019-08-17,0,1,0,1,1.39605,"Brighton",5.48571428571429,8.87096774193548,4,2,4,1,"A Taylor",16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,13,16,4,0,0,11,8
"26","h",0.832913,1.17279,0.832913,1.17279,4,3,1,0,1.015,"w",2019-08-17,1,0,0,3,-0.339877,"Everton",8.86363636363636,3.925,4,2,1,0,"L Mason",12,2,11,4,2,0,8,2,11,7,3,0,1.72,3.8,4.75,0.166666666666667,0.25,13,12,2,2,0,11,4
"27","a",1.52022,2.14047,1.52022,2.14047,6,1,2,1,0.9463,"w",2019-08-17,1,0,0,3,-0.62025,"Liverpool",9.42857142857143,12,6,2,6,2,"A Marriner",14,3,10,5,2,0,15,6,6,9,1,0,6.5,4.75,1.44,0.214285714285714,0.4,14,15,6,1,0,6,9
"28","a",0.920429,2.09572,0.920429,2.09572,6,9,1,3,0.565,"l",2019-08-17,0,0,1,0,-1.175291,"Newcastle United",17.5,13.9285714285714,0,2,1,4,"S Attwell",15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333333333,0.3,14,10,3,3,0,11,5
"29","h",2.09572,0.920429,2.09572,0.920429,9,6,3,1,2.2375,"w",2019-08-17,1,0,0,3,1.175291,"Norwich",13.9285714285714,17.5,3,2,4,5,"S Attwell",15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333333333,0.3,15,15,8,1,0,9,7
"30","h",2.14047,1.52022,2.14047,1.52022,1,6,1,2,1.8259,"l",2019-08-17,0,0,1,0,0.62025,"Southampton",12,9.42857142857143,0,2,1,5,"A Marriner",14,3,10,5,2,0,15,6,6,9,1,0,6.5,4.75,1.44,0.214285714285714,0.4,15,14,3,2,0,10,5
"31","a",1.17279,0.832913,1.17279,0.832913,3,4,0,1,1.663,"l",2019-08-17,0,0,1,0,0.339877,"Watford",3.925,8.86363636363636,0,2,0,4,"L Mason",12,2,11,4,2,0,8,2,11,7,3,0,1.72,3.8,4.75,0.166666666666667,0.25,16,8,2,3,0,11,7
"32","a",1.00856,2.40461,1.00856,2.40461,4,8,1,1,0.4871,"d",2019-08-17,0,1,0,1,-1.39605,"West Ham",8.87096774193548,5.48571428571429,1,2,1,6,"A Taylor",16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,16,8,3,2,0,10,6
"33","h",3.20076,0.074542,3.20076,0.074542,10,2,2,2,2.9323,"d",2019-08-17,0,1,0,1,3.126218,"Man City",8.97674418604651,47.1428571428571,4,2,7,2,"M Oliver",30,10,14,13,1,0,3,2,4,2,0,0,1.36,5.25,8,0.333333333333333,0.666666666666667,17,30,10,1,0,14,13
